"date","country","total_revenue"
"2007-04-30","Nigeria","76.79"
"2007-02-17","Czech Republic","7.99"
"2007-02-19","Peru","11.97"
"2007-04-07","Morocco","2.99"
"2007-04-08","Runion","5.98"
"2007-03-16","China","23.94"
"2007-04-07","Taiwan","26.93"
"2007-03-22","United States","107.75"
"2007-02-16","Kazakstan","11.98"
"2007-04-12","Iraq","8.98"
"2007-03-01","Sweden","0.99"
"2007-03-22","Switzerland","19.95"
"2007-03-17","Turkey","31.92"
"2007-03-23","Zambia","5.99"
"2007-04-28","Yugoslavia","4.99"
"2007-03-21","United Kingdom","28.92"
"2007-03-17","Hungary","0.99"
"2007-03-16","Russian Federation","6.97"
"2007-03-22","Venezuela","20.94"
"2007-02-18","Paraguay","5.99"
"2007-04-27","Moldova","16.97"
"2007-04-10","United States","101.76"
"2007-04-11","Myanmar","0.99"
"2007-04-07","Moldova","12.97"
"2007-02-14","Taiwan","2.99"
"2007-02-15","Pakistan","12.97"
"2007-03-16","Mozambique","6.99"
"2007-02-18","Bolivia","9.97"
"2007-04-06","Pakistan","11.96"
"2007-03-22","French Polynesia","9.98"
"2007-03-01","South Korea","10.97"
"2007-03-22","Morocco","12.97"
"2007-02-19","Latvia","2.98"
"2007-03-17","Runion","3.98"
"2007-02-18","Puerto Rico","6.99"
"2007-04-06","Mozambique","8.97"
"2007-04-27","Saint Vincent and the Grenadines","2.99"
"2007-03-01","Mexico","131.66"
"2007-05-14","South Africa","4.99"
"2007-04-28","Iran","78.82"
"2007-04-29","Chile","4.99"
"2007-02-19","Mozambique","5.98"
"2007-04-26","Algeria","5.99"
"2007-04-26","Venezuela","4.99"
"2007-04-26","China","11.96"
"2007-04-30","Spain","45.89"
"2007-02-18","Iran","14.96"
"2007-03-01","Kuwait","7.98"
"2007-02-16","Cameroon","14.97"
"2007-03-17","Iran","18.95"
"2007-04-10","Ukraine","34.92"
"2007-02-17","French Polynesia","0.99"
"2007-04-12","Cambodia","13.98"
"2007-03-01","Oman","6.97"
"2007-04-06","Cambodia","17.96"
"2007-04-07","Paraguay","27.94"
"2007-04-05","Vietnam","12.98"
"2007-03-20","Iran","43.91"
"2007-04-09","Egypt","26.94"
"2007-03-17","Malaysia","7.98"
"2007-03-23","Puerto Rico","4.99"
"2007-04-10","Greece","3.99"
"2007-04-09","South Korea","6.97"
"2007-04-11","Hong Kong","3.99"
"2007-02-21","Vietnam","1.98"
"2007-02-15","Belarus","2.99"
"2007-03-02","Mexico","147.67"
"2007-02-21","Mexico","60.87"
"2007-04-27","Iraq","2.99"
"2007-03-17","Taiwan","36.92"
"2007-04-07","North Korea","9.98"
"2007-02-21","Paraguay","7.98"
"2007-04-29","Saint Vincent and the Grenadines","13.97"
"2007-04-27","Romania","10.97"
"2007-04-28","Cameroon","16.96"
"2007-04-06","Argentina","59.89"
"2007-02-16","Romania","5.98"
"2007-02-15","United Kingdom","11.97"
"2007-03-18","Iraq","5.99"
"2007-04-29","United Kingdom","67.87"
"2007-02-14","Indonesia","4.99"
"2007-04-06","Taiwan","40.90"
"2007-04-10","Malaysia","13.97"
"2007-04-08","South Africa","38.91"
"2007-04-27","Netherlands","13.96"
"2007-04-30","Vietnam","48.88"
"2007-04-28","Colombia","13.96"
"2007-04-09","Zambia","9.98"
"2007-04-27","Afghanistan","13.98"
"2007-04-29","Runion","18.96"
"2007-03-21","Taiwan","38.89"
"2007-03-18","Canada","25.95"
"2007-03-19","Finland","5.98"
"2007-03-18","Turkey","64.86"
"2007-03-19","Mexico","124.67"
"2007-04-06","Anguilla","3.98"
"2007-04-06","Senegal","10.98"
"2007-04-26","South Africa","1.99"
"2007-03-23","Mexico","110.71"
"2007-04-10","Cambodia","4.98"
"2007-04-30","Moldova","13.95"
"2007-03-18","Japan","194.59"
"2007-02-21","Brazil","46.89"
"2007-04-10","Yemen","0.99"
"2007-02-17","Pakistan","3.99"
"2007-03-23","New Zealand","7.98"
"2007-03-02","Lithuania","0.99"
"2007-02-21","Canada","15.96"
"2007-04-06","Venezuela","20.96"
"2007-04-28","Madagascar","0.99"
"2007-04-29","South Africa","21.92"
"2007-04-30","Egypt","22.91"
"2007-04-11","Saudi Arabia","29.95"
"2007-02-15","Nigeria","16.97"
"2007-04-07","Slovakia","0.99"
"2007-04-08","Iran","41.92"
"2007-02-17","Austria","4.99"
"2007-02-18","South Korea","16.96"
"2007-02-18","India","131.70"
"2007-02-17","Anguilla","1.99"
"2007-04-27","Mozambique","24.94"
"2007-03-01","Malaysia","16.96"
"2007-04-06","Sudan","0.99"
"2007-03-01","Belarus","16.95"
"2007-02-20","Russian Federation","49.86"
"2007-02-20","Switzerland","2.99"
"2007-04-06","Saint Vincent and the Grenadines","0.99"
"2007-03-19","Congo, The Democratic Republic of the","15.97"
"2007-04-09","Thailand","11.97"
"2007-04-30","Cameroon","7.97"
"2007-02-17","Spain","2.99"
"2007-03-22","Canada","18.95"
"2007-03-22","Czech Republic","2.99"
"2007-04-10","Moldova","2.99"
"2007-03-22","Myanmar","2.99"
"2007-04-12","Vietnam","24.94"
"2007-02-18","Austria","4.99"
"2007-03-18","Mozambique","6.99"
"2007-04-27","Puerto Rico","19.96"
"2007-03-18","Belarus","9.98"
"2007-04-30","Tanzania","30.95"
"2007-03-22","Cameroon","0.99"
"2007-02-19","India","80.77"
"2007-04-12","United Kingdom","10.97"
"2007-04-12","Finland","0.99"
"2007-04-07","Senegal","3.99"
"2007-02-21","Liechtenstein","0.99"
"2007-04-27","Brunei","1.98"
"2007-04-28","Morocco","13.96"
"2007-04-10","Mozambique","13.98"
"2007-04-28","Estonia","3.99"
"2007-04-10","Germany","16.95"
"2007-03-01","Chile","10.97"
"2007-03-02","Moldova","6.98"
"2007-04-06","Iran","20.96"
"2007-02-19","Kenya","19.96"
"2007-05-14","Colombia","14.97"
"2007-04-26","Turkmenistan","3.99"
"2007-04-09","Sudan","6.97"
"2007-03-19","Yugoslavia","5.98"
"2007-04-09","Sri Lanka","0.99"
"2007-04-10","Azerbaijan","17.96"
"2007-04-11","Senegal","0.99"
"2007-04-10","China","179.53"
"2007-02-15","Israel","2.99"
"2007-02-18","Nigeria","15.96"
"2007-04-09","Virgin Islands, U.S.","5.98"
"2007-04-11","Pakistan","22.95"
"2007-02-19","South Africa","24.93"
"2007-03-23","Spain","37.94"
"2007-04-12","Pakistan","20.96"
"2007-02-17","Turkmenistan","6.99"
"2007-04-11","Belarus","7.98"
"2007-04-29","Gambia","4.99"
"2007-04-30","Tuvalu","22.96"
"2007-04-07","Netherlands","16.95"
"2007-02-19","Malawi","5.99"
"2007-03-01","Sudan","12.98"
"2007-04-29","Saudi Arabia","37.91"
"2007-03-19","Iran","41.89"
"2007-02-15","Yemen","2.97"
"2007-02-18","Turkmenistan","4.99"
"2007-04-10","Pakistan","8.97"
"2007-04-29","Myanmar","3.99"
"2007-04-29","Senegal","4.99"
"2007-03-01","French Polynesia","7.98"
"2007-02-15","Slovakia","5.99"
"2007-04-27","Belarus","17.97"
"2007-03-20","Senegal","4.99"
"2007-04-28","Netherlands","25.96"
"2007-04-26","Brazil","34.93"
"2007-03-22","Madagascar","5.99"
"2007-03-21","Dominican Republic","0.99"
"2007-03-17","United States","182.60"
"2007-04-30","Sudan","27.94"
"2007-02-20","Colombia","12.98"
"2007-04-12","Czech Republic","12.98"
"2007-02-17","Sweden","7.98"
"2007-04-26","Peru","7.99"
"2007-04-08","Philippines","88.81"
"2007-03-19","Vietnam","42.90"
"2007-02-20","Mozambique","4.99"
"2007-03-21","Belarus","9.98"
"2007-04-11","Vietnam","34.94"
"2007-04-09","Tuvalu","9.98"
"2007-04-27","Brazil","121.71"
"2007-03-20","Estonia","3.98"
"2007-03-21","Sweden","10.97"
"2007-02-21","India","57.85"
"2007-04-07","Bangladesh","25.95"
"2007-03-22","Turkey","80.82"
"2007-04-28","Ecuador","12.97"
"2007-03-17","Armenia","6.98"
"2007-04-05","Finland","0.99"
"2007-04-08","Mexico","156.64"
"2007-03-23","Paraguay","21.95"
"2007-04-12","Runion","19.98"
"2007-04-30","United Arab Emirates","26.95"
"2007-03-23","Chad","0.99"
"2007-03-20","Sudan","4.99"
"2007-02-19","Italy","20.97"
"2007-04-10","Algeria","4.98"
"2007-04-07","Pakistan","9.96"
"2007-02-14","India","14.97"
"2007-03-21","Colombia","38.93"
"2007-02-19","China","130.72"
"2007-02-21","Kazakstan","8.98"
"2007-02-19","Egypt","19.96"
"2007-02-15","Bulgaria","12.97"
"2007-02-20","French Guiana","4.99"
"2007-03-20","Paraguay","2.99"
"2007-04-27","China","202.44"
"2007-04-06","Israel","16.96"
"2007-03-19","Malaysia","28.93"
"2007-02-20","Peru","1.99"
"2007-03-21","Romania","7.98"
"2007-02-15","Tanzania","5.98"
"2007-03-17","Belarus","16.96"
"2007-04-07","Malawi","6.99"
"2007-04-10","Brazil","128.68"
"2007-04-09","Saudi Arabia","20.95"
"2007-03-21","Spain","28.93"
"2007-02-17","Angola","7.98"
"2007-03-20","Hungary","3.99"
"2007-03-22","Tonga","2.99"
"2007-02-19","Moldova","3.98"
"2007-04-30","Sri Lanka","5.98"
"2007-03-17","Peru","22.95"
"2007-05-14","Algeria","5.98"
"2007-04-11","Nauru","4.99"
"2007-04-29","Switzerland","10.97"
"2007-03-01","Iran","74.86"
"2007-04-28","Pakistan","12.96"
"2007-04-10","French Guiana","3.99"
"2007-02-16","Germany","11.97"
"2007-03-22","Yemen","4.99"
"2007-02-15","Germany","8.98"
"2007-03-18","New Zealand","2.99"
"2007-03-20","Argentina","53.86"
"2007-02-20","Pakistan","13.97"
"2007-04-29","Algeria","25.94"
"2007-03-23","Dominican Republic","5.99"
"2007-02-16","Chad","4.99"
"2007-04-30","Runion","20.95"
"2007-04-10","Afghanistan","0.99"
"2007-04-27","Sudan","4.99"
"2007-03-01","Estonia","9.98"
"2007-03-21","Algeria","14.95"
"2007-02-20","Moldova","4.99"
"2007-03-21","Bolivia","7.98"
"2007-04-09","France","10.96"
"2007-03-02","Taiwan","50.87"
"2007-04-10","United Arab Emirates","4.99"
"2007-03-18","Malawi","4.99"
"2007-02-16","Angola","7.99"
"2007-04-06","Malawi","5.98"
"2007-04-05","Russian Federation","8.97"
"2007-04-28","United Arab Emirates","14.97"
"2007-03-19","Brazil","155.63"
"2007-03-18","Yemen","32.95"
"2007-04-07","Chile","12.98"
"2007-02-16","Argentina","6.97"
"2007-03-23","Vietnam","20.96"
"2007-04-08","Tanzania","16.96"
"2007-04-26","Japan","41.92"
"2007-04-11","United Arab Emirates","8.99"
"2007-04-09","Yugoslavia","8.99"
"2007-02-21","Nigeria","8.98"
"2007-02-20","Malaysia","0.99"
"2007-03-17","French Polynesia","9.98"
"2007-03-02","Romania","5.99"
"2007-04-29","Poland","30.90"
"2007-02-21","Egypt","17.96"
"2007-03-17","Chad","19.97"
"2007-02-21","Argentina","10.98"
"2007-04-27","Russian Federation","98.77"
"2007-03-19","Argentina","26.91"
"2007-02-16","Yugoslavia","4.98"
"2007-04-08","Mozambique","17.97"
"2007-03-22","Brazil","118.74"
"2007-03-20","Nauru","10.98"
"2007-02-17","Russian Federation","49.87"
"2007-04-06","Ukraine","48.93"
"2007-04-06","Bangladesh","2.99"
"2007-03-21","Malaysia","24.96"
"2007-04-08","Hong Kong","0.99"
"2007-04-12","Peru","11.96"
"2007-04-10","Israel","7.98"
"2007-04-09","Angola","3.99"
"2007-02-16","Canada","4.98"
"2007-03-02","Czech Republic","3.99"
"2007-02-16","Indonesia","25.92"
"2007-04-06","Armenia","2.99"
"2007-04-08","Colombia","38.94"
"2007-02-19","Ecuador","33.96"
"2007-03-19","Bulgaria","0.99"
"2007-04-11","Israel","5.99"
"2007-04-30","Peru","32.92"
"2007-03-01","Thailand","26.95"
"2007-03-01","Kazakstan","8.97"
"2007-04-07","Oman","7.98"
"2007-04-28","Congo, The Democratic Republic of the","7.98"
"2007-04-07","Tunisia","16.97"
"2007-04-06","North Korea","0.99"
"2007-03-23","Yugoslavia","0.99"
"2007-03-21","Cameroon","5.98"
"2007-03-16","Puerto Rico","4.99"
"2007-03-21","Yemen","37.94"
"2007-04-12","Sri Lanka","2.99"
"2007-03-19","Chile","14.97"
"2007-04-10","South Korea","7.98"
"2007-03-21","United States","208.55"
"2007-02-21","Japan","27.92"
"2007-03-20","Belarus","2.99"
"2007-03-19","Italy","39.93"
"2007-04-06","Brazil","96.80"
"2007-04-07","New Zealand","6.98"
"2007-02-18","Zambia","0.99"
"2007-03-21","Kenya","5.98"
"2007-02-19","Iran","16.94"
"2007-04-10","Morocco","11.97"
"2007-04-28","Faroe Islands","2.99"
"2007-02-18","Congo, The Democratic Republic of the","4.99"
"2007-04-09","Latvia","0.99"
"2007-04-30","Madagascar","3.99"
"2007-04-09","Oman","2.99"
"2007-02-17","Brazil","55.84"
"2007-03-02","United Arab Emirates","11.96"
"2007-04-06","Puerto Rico","5.98"
"2007-04-10","Anguilla","0.99"
"2007-04-10","Hong Kong","5.98"
"2007-04-29","French Polynesia","5.98"
"2007-03-02","Slovakia","2.99"
"2007-03-17","Finland","0.99"
"2007-03-21","Netherlands","24.95"
"2007-03-01","Algeria","8.96"
"2007-03-01","Poland","32.92"
"2007-04-29","Iraq","1.98"
"2007-04-06","Congo, The Democratic Republic of the","6.99"
"2007-02-21","Brunei","2.99"
"2007-04-11","New Zealand","4.99"
"2007-04-30","Virgin Islands, U.S.","19.95"
"2007-03-17","Cameroon","17.96"
"2007-03-01","Germany","18.96"
"2007-02-18","Yemen","6.98"
"2007-02-19","Senegal","2.99"
"2007-03-02","Congo, The Democratic Republic of the","12.98"
"2007-04-06","United Arab Emirates","22.95"
"2007-03-02","Brunei","0.99"
"2007-04-10","Saudi Arabia","8.98"
"2007-03-20","Ecuador","12.98"
"2007-04-29","Colombia","38.91"
"2007-03-19","Tuvalu","9.98"
"2007-02-17","Colombia","10.97"
"2007-04-12","Indonesia","57.89"
"2007-04-28","Armenia","17.96"
"2007-03-16","Italy","13.98"
"2007-03-01","Cameroon","0.99"
"2007-04-11","Indonesia","49.90"
"2007-02-16","Spain","9.99"
"2007-04-29","Anguilla","0.99"
"2007-02-17","New Zealand","5.99"
"2007-02-19","Yugoslavia","0.99"
"2007-04-08","Afghanistan","6.99"
"2007-03-18","Angola","8.98"
"2007-03-19","Faroe Islands","4.99"
"2007-02-17","Greece","6.99"
"2007-03-16","Philippines","13.98"
"2007-03-18","Spain","38.92"
"2007-03-02","Morocco","9.99"
"2007-04-07","Greece","4.99"
"2007-04-27","Latvia","7.99"
"2007-03-23","Ukraine","27.92"
"2007-04-28","Vietnam","11.96"
"2007-04-07","South Africa","38.92"
"2007-02-17","Virgin Islands, U.S.","8.98"
"2007-02-15","Ecuador","4.99"
"2007-03-19","Liechtenstein","6.98"
"2007-04-10","Nepal","8.99"
"2007-03-16","Vietnam","0.99"
"2007-04-12","Moldova","5.99"
"2007-04-10","Egypt","7.98"
"2007-02-16","Chile","4.99"
"2007-02-18","Bahrain","2.99"
"2007-02-21","United Arab Emirates","4.99"
"2007-04-27","Japan","155.66"
"2007-03-16","Gambia","6.99"
"2007-03-16","South Africa","19.97"
"2007-04-09","Malaysia","1.99"
"2007-04-07","Nigeria","52.90"
"2007-03-02","Spain","3.97"
"2007-02-16","Egypt","11.97"
"2007-03-01","Slovakia","13.96"
"2007-03-18","Israel","4.99"
"2007-03-20","Venezuela","35.93"
"2007-04-09","Iran","29.93"
"2007-04-29","Tonga","2.99"
"2007-03-19","Romania","2.99"
"2007-04-12","Netherlands","27.95"
"2007-03-22","Afghanistan","4.99"
"2007-05-14","Venezuela","5.98"
"2007-02-17","Belarus","0.99"
"2007-02-20","Thailand","6.98"
"2007-04-06","Hungary","14.98"
"2007-04-08","Canada","8.97"
"2007-04-10","Faroe Islands","8.98"
"2007-04-12","Italy","20.94"
"2007-03-23","Madagascar","14.96"
"2007-03-21","Sri Lanka","4.99"
"2007-04-10","Netherlands","6.95"
"2007-05-14","Germany","14.95"
"2007-04-10","Bulgaria","11.98"
"2007-04-12","France","9.98"
"2007-04-06","Nepal","10.98"
"2007-04-29","Spain","18.95"
"2007-04-07","Brunei","12.97"
"2007-02-18","Kenya","6.99"
"2007-04-05","Japan","4.98"
"2007-04-05","South Korea","6.97"
"2007-03-18","Sweden","0.99"
"2007-02-17","China","115.69"
"2007-03-20","Kazakstan","3.99"
"2007-04-11","Italy","23.96"
"2007-03-19","Morocco","21.95"
"2007-02-16","Nigeria","5.98"
"2007-04-05","Canada","7.99"
"2007-02-18","Nauru","7.99"
"2007-03-17","Morocco","16.95"
"2007-02-21","Zambia","5.98"
"2007-03-01","Israel","18.95"
"2007-04-09","China","175.52"
"2007-04-12","United Arab Emirates","6.99"
"2007-04-29","United States","155.67"
"2007-03-20","Algeria","17.97"
"2007-03-01","Moldova","6.99"
"2007-03-23","Taiwan","51.84"
"2007-03-19","Taiwan","43.88"
"2007-03-23","Venezuela","16.95"
"2007-04-26","Iran","2.99"
"2007-04-27","Taiwan","39.88"
"2007-02-17","Mozambique","2.99"
"2007-03-23","Turkmenistan","17.97"
"2007-04-09","Bangladesh","14.94"
"2007-03-01","Madagascar","0.99"
"2007-04-29","Angola","7.97"
"2007-04-07","Saint Vincent and the Grenadines","7.99"
"2007-04-09","Poland","16.95"
"2007-02-19","Russian Federation","60.84"
"2007-04-30","Netherlands","45.89"
"2007-04-08","Brazil","96.79"
"2007-04-12","Nepal","5.99"
"2007-03-23","Kenya","5.99"
"2007-03-19","India","261.37"
"2007-04-10","Malawi","10.98"
"2007-03-17","Algeria","15.96"
"2007-02-17","Thailand","17.95"
"2007-03-20","Sri Lanka","14.97"
"2007-04-12","Chad","2.99"
"2007-03-22","Sweden","4.99"
"2007-02-18","Japan","81.83"
"2007-03-02","Peru","38.91"
"2007-03-23","South Korea","23.95"
"2007-03-02","Sri Lanka","2.99"
"2007-02-15","Romania","8.98"
"2007-03-23","Italy","21.94"
"2007-03-20","South Africa","63.89"
"2007-04-30","Indonesia","73.83"
"2007-03-23","Afghanistan","0.99"
"2007-04-30","Argentina","140.66"
"2007-03-17","Bangladesh","4.97"
"2007-02-21","Morocco","9.97"
"2007-05-14","Zambia","0.99"
"2007-04-28","North Korea","0.99"
"2007-03-21","Holy See (Vatican City State)","23.96"
"2007-03-19","Russian Federation","102.70"
"2007-05-14","Thailand","5.98"
"2007-03-19","Netherlands","28.93"
"2007-04-10","United Kingdom","15.96"
"2007-04-08","Oman","5.97"
"2007-04-11","Brunei","7.98"
"2007-03-23","United Arab Emirates","8.98"
"2007-04-12","Hong Kong","7.99"
"2007-03-02","Nigeria","36.92"
"2007-04-09","Bolivia","6.99"
"2007-05-14","China","40.87"
"2007-02-19","Myanmar","15.97"
"2007-03-01","Kenya","9.98"
"2007-03-21","Russian Federation","75.82"
"2007-03-22","Israel","27.93"
"2007-04-05","China","34.92"
"2007-03-23","Cambodia","1.98"
"2007-03-02","Mozambique","5.98"
"2007-02-18","Canada","30.95"
"2007-03-22","Yugoslavia","4.99"
"2007-03-19","South Korea","9.98"
"2007-02-21","Malaysia","6.99"
"2007-04-07","Russian Federation","53.83"
"2007-04-30","Chad","5.98"
"2007-04-09","Afghanistan","0.99"
"2007-04-11","Egypt","24.94"
"2007-04-12","Malaysia","6.97"
"2007-04-28","Turkey","104.78"
"2007-04-06","Slovakia","3.99"
"2007-03-22","Pakistan","28.92"
"2007-05-14","Latvia","2.99"
"2007-04-27","Italy","28.94"
"2007-03-16","Iran","2.99"
"2007-04-12","Bahrain","4.99"
"2007-04-06","United States","112.73"
"2007-02-20","United States","78.85"
"2007-04-11","South Africa","43.89"
"2007-02-16","Tuvalu","3.99"
"2007-04-29","Japan","105.71"
"2007-04-07","Faroe Islands","9.98"
"2007-02-17","Slovakia","8.98"
"2007-03-02","China","223.50"
"2007-04-09","New Zealand","5.98"
"2007-04-30","French Polynesia","4.99"
"2007-04-11","Ukraine","33.92"
"2007-04-11","Tanzania","1.98"
"2007-04-10","Tuvalu","7.98"
"2007-03-18","United Kingdom","22.96"
"2007-04-06","Indonesia","36.89"
"2007-03-16","Pakistan","6.99"
"2007-04-08","Saudi Arabia","6.98"
"2007-04-27","Gambia","7.98"
"2007-03-21","Myanmar","11.97"
"2007-04-30","South Africa","103.77"
"2007-02-14","United Kingdom","6.99"
"2007-03-17","Mozambique","4.98"
"2007-03-23","Tuvalu","12.97"
"2007-02-20","Dominican Republic","14.97"
"2007-03-02","Canada","29.94"
"2007-03-23","Sudan","13.96"
"2007-04-09","Chile","22.96"
"2007-04-09","Spain","14.95"
"2007-04-09","India","152.60"
"2007-04-09","Belarus","18.96"
"2007-03-02","French Polynesia","10.98"
"2007-02-16","Turkey","25.95"
"2007-03-18","Lithuania","4.98"
"2007-04-08","Argentina","41.93"
"2007-03-17","South Korea","22.96"
"2007-04-08","Austria","7.99"
"2007-03-22","Italy","67.86"
"2007-02-16","Bulgaria","9.98"
"2007-04-26","Malaysia","4.99"
"2007-03-01","Indonesia","30.90"
"2007-03-01","Cambodia","4.99"
"2007-03-19","Egypt","26.94"
"2007-04-06","Angola","5.98"
"2007-03-23","Morocco","18.96"
"2007-04-09","Mozambique","12.97"
"2007-04-27","Bulgaria","1.99"
"2007-04-27","Bolivia","9.98"
"2007-03-02","Oman","12.98"
"2007-04-12","Greenland","0.99"
"2007-04-10","Sudan","21.97"
"2007-04-11","Russian Federation","72.82"
"2007-04-11","Ecuador","9.97"
"2007-04-30","Myanmar","14.97"
"2007-02-15","Cambodia","1.99"
"2007-03-17","Ukraine","30.92"
"2007-04-28","Yemen","11.97"
"2007-02-17","Greenland","3.99"
"2007-03-17","Nepal","17.97"
"2007-03-21","Philippines","109.75"
"2007-04-09","Ukraine","26.92"
"2007-05-14","Yemen","2.99"
"2007-03-02","Bangladesh","13.96"
"2007-04-26","India","47.90"
"2007-04-08","Russian Federation","149.71"
"2007-04-07","Tonga","9.98"
"2007-03-02","American Samoa","0.99"
"2007-04-07","Cambodia","3.99"
"2007-04-08","Bahrain","12.97"
"2007-04-27","Cambodia","14.97"
"2007-03-20","Runion","0.99"
"2007-04-29","Greece","2.99"
"2007-04-26","South Korea","0.99"
"2007-04-29","Romania","24.95"
"2007-04-29","Congo, The Democratic Republic of the","2.99"
"2007-02-17","Japan","71.84"
"2007-02-16","Vietnam","18.97"
"2007-04-11","Japan","116.71"
"2007-02-21","Sweden","10.98"
"2007-02-21","China","82.82"
"2007-03-21","Oman","7.99"
"2007-02-21","United Kingdom","14.95"
"2007-03-22","Netherlands","24.94"
"2007-05-14","Morocco","4.99"
"2007-02-19","Argentina","36.92"
"2007-04-10","Tunisia","2.99"
"2007-02-18","Ethiopia","2.99"
"2007-04-09","Netherlands","12.96"
"2007-04-29","Azerbaijan","4.99"
"2007-03-23","Switzerland","1.99"
"2007-04-27","Ukraine","21.96"
"2007-04-27","Switzerland","24.94"
"2007-04-09","Ecuador","8.97"
"2007-04-27","Nigeria","70.80"
"2007-03-18","India","341.28"
"2007-03-17","Sri Lanka","2.99"
"2007-03-22","France","10.97"
"2007-04-06","Vietnam","6.99"
"2007-04-09","Congo, The Democratic Republic of the","2.99"
"2007-02-15","Cameroon","0.99"
"2007-03-01","Congo, The Democratic Republic of the","20.93"
"2007-04-05","New Zealand","5.99"
"2007-04-09","Greenland","5.98"
"2007-04-28","Sudan","12.96"
"2007-04-12","Switzerland","14.96"
"2007-04-29","Bangladesh","9.98"
"2007-02-17","Bolivia","7.98"
"2007-04-11","Romania","10.97"
"2007-04-27","Azerbaijan","7.98"
"2007-03-19","Bangladesh","21.96"
"2007-03-02","Greenland","9.97"
"2007-03-19","Puerto Rico","14.97"
"2007-03-02","Tonga","5.99"
"2007-02-20","India","83.73"
"2007-03-22","Algeria","8.98"
"2007-02-17","Vietnam","9.98"
"2007-03-20","Sweden","5.98"
"2007-04-08","Belarus","11.97"
"2007-03-19","Yemen","18.95"
"2007-04-29","Bolivia","7.98"
"2007-02-20","Brunei","0.99"
"2007-05-14","Cambodia","9.96"
"2007-02-18","South Africa","26.94"
"2007-02-17","Malaysia","4.99"
"2007-03-21","Bulgaria","5.98"
"2007-03-19","Cameroon","0.99"
"2007-04-06","Italy","30.95"
"2007-02-19","Virgin Islands, U.S.","0.99"
"2007-04-11","Yemen","26.94"
"2007-03-21","Madagascar","16.97"
"2007-03-22","Iran","29.93"
"2007-02-16","China","111.74"
"2007-02-16","South Africa","19.94"
"2007-03-02","North Korea","9.98"
"2007-04-30","Philippines","245.45"
"2007-02-16","Poland","4.99"
"2007-02-15","Thailand","6.98"
"2007-03-19","Israel","12.98"
"2007-03-18","Greece","9.98"
"2007-03-21","South Korea","3.99"
"2007-02-21","France","2.99"
"2007-04-05","Peru","0.99"
"2007-04-28","Latvia","18.95"
"2007-03-17","Philippines","122.71"
"2007-04-07","Yemen","22.94"
"2007-04-28","Sweden","2.99"
"2007-04-29","Kenya","21.95"
"2007-03-19","China","191.54"
"2007-03-01","Tunisia","4.99"
"2007-03-18","Nepal","4.99"
"2007-03-19","Greece","13.98"
"2007-02-16","Iran","4.99"
"2007-03-23","Lithuania","6.98"
"2007-03-02","South Africa","41.91"
"2007-04-30","Sweden","5.99"
"2007-04-08","Pakistan","10.97"
"2007-03-23","Brazil","88.78"
"2007-04-07","Runion","0.99"
"2007-02-14","Egypt","7.99"
"2007-04-08","Ecuador","11.97"
"2007-03-16","Bangladesh","2.99"
"2007-04-06","Malaysia","15.96"
"2007-03-22","Dominican Republic","21.95"
"2007-04-10","Poland","27.94"
"2007-03-21","Morocco","13.98"
"2007-02-16","Netherlands","18.97"
"2007-04-29","American Samoa","4.99"
"2007-04-27","Egypt","54.89"
"2007-03-01","Nigeria","73.87"
"2007-02-16","Morocco","4.99"
"2007-02-18","Latvia","0.99"
"2007-02-19","Switzerland","4.99"
"2007-04-27","United Arab Emirates","16.95"
"2007-04-08","Germany","19.94"
"2007-03-23","Bolivia","7.97"
"2007-04-09","Italy","33.92"
"2007-02-17","Kazakstan","0.99"
"2007-04-30","Japan","267.40"
"2007-03-18","Thailand","13.96"
"2007-03-20","Ukraine","34.94"
"2007-03-18","Venezuela","25.94"
"2007-02-19","Bangladesh","4.99"
"2007-03-23","Latvia","4.99"
"2007-03-02","Bolivia","6.99"
"2007-04-12","Sudan","9.98"
"2007-04-27","Spain","42.92"
"2007-02-21","Mozambique","0.99"
"2007-04-30","Hong Kong","2.99"
"2007-03-01","Bolivia","6.97"
"2007-04-28","Italy","39.91"
"2007-04-29","Cambodia","13.97"
"2007-02-19","Poland","5.98"
"2007-04-06","India","186.56"
"2007-02-21","Venezuela","11.96"
"2007-02-21","Austria","5.98"
"2007-04-30","China","638.64"
"2007-03-19","Indonesia","40.88"
"2007-04-28","United Kingdom","32.93"
"2007-04-11","Oman","15.96"
"2007-02-21","Yemen","5.98"
"2007-04-07","Germany","28.91"
"2007-03-21","Finland","0.99"
"2007-03-02","Ethiopia","0.99"
"2007-03-17","Yugoslavia","4.99"
"2007-03-22","American Samoa","2.99"
"2007-04-12","Egypt","8.96"
"2007-04-10","Italy","32.93"
"2007-03-19","Belarus","10.98"
"2007-02-18","Oman","7.98"
"2007-04-26","Bangladesh","1.99"
"2007-04-06","Netherlands","27.95"
"2007-03-19","Thailand","17.96"
"2007-02-21","Turkey","14.97"
"2007-04-06","Nauru","0.99"
"2007-02-21","Taiwan","16.97"
"2007-02-21","Russian Federation","44.91"
"2007-05-14","Italy","3.98"
"2007-04-09","Kazakstan","5.99"
"2007-03-01","Runion","6.99"
"2007-02-17","Senegal","12.98"
"2007-03-02","Vietnam","17.95"
"2007-04-29","Yemen","46.90"
"2007-04-30","France","53.89"
"2007-04-29","Greenland","5.99"
"2007-03-23","Gambia","0.99"
