"country","title","total_revenue"
"Australia","Image Princess","26.95"
"Australia","Exorcist Sting","21.94"
"Canada","Killer Innocent","21.94"
"Canada","Splendor Patton","15.92"
"Australia","Barbarella Streetcar","24.94"
"Australia","Saturday Lambs","96.87"
"Australia","Bingo Talented","57.87"
"Canada","Detective Vision","24.92"
"Australia","Sling Luke","14.94"
"Australia","Driving Polish","35.93"
"Australia","Rush Goodfellas","43.85"
"Canada","Berets Agent","22.94"
"Canada","Queen Luke","50.93"
"Canada","Candidate Perdition","26.94"
"Australia","Panther Reds","48.93"
"Australia","Something Duck","35.94"
"Australia","Mannequin Worst","23.95"
"Australia","Massage Image","56.89"
"Australia","Empire Malkovich","10.92"
"Australia","Stock Glass","42.87"
"Australia","Doors President","72.88"
"Australia","Poseidon Forever","43.93"
"Australia","Attraction Newton","50.92"
"Canada","Uncut Suicides","17.94"
"Canada","Birch Antitrust","35.94"
"Australia","Room Roman","18.88"
"Canada","Sierra Divide","26.92"
"Australia","Labyrinth League","41.87"
"Australia","Operation Operation","46.86"
"Canada","Hunger Roof","7.96"
"Canada","Theory Mermaid","30.88"
"Canada","Smoking Barbarella","8.91"
"Canada","Private Drop","26.95"
"Australia","Polish Brooklyn","18.85"
"Australia","Forrest Sons","39.92"
"Canada","Sabrina Midnight","66.89"
"Canada","League Hellfighters","37.94"
"Australia","Italian African","38.94"
"Australia","Spiking Element","38.88"
"Australia","Patton Interview","52.89"
"Canada","Run Pacific","42.91"
"Australia","Wrath Mile","22.87"
"Canada","Angels Life","65.87"
"Canada","Freedom Cleopatra","5.95"
"Canada","President Bang","35.94"
"Australia","Shepherd Midsummer","14.87"
"Canada","Reunion Witches","24.89"
"Canada","Eve Resurrection","40.93"
"Australia","Jaws Harry","44.91"
"Canada","Eyes Driving","28.94"
"Australia","Open African","60.89"
"Australia","Downhill Enough","46.88"
"Canada","Destiny Saturday","31.94"
"Australia","Grit Clockwork","43.86"
"Canada","Chicago North","52.91"
"Australia","Heavyweights Beast","63.89"
"Australia","Necklace Outbreak","36.86"
"Australia","Command Darling","74.89"
"Australia","Wars Pluto","42.90"
"Australia","Silence Kane","9.90"
"Australia","Fireball Philadelphia","26.91"
"Canada","Chainsaw Uptown","15.89"
"Australia","Coma Head","51.90"
"Australia","Minds Truman","54.93"
"Australia","Gold River","39.94"
"Australia","Gathering Calendar","19.90"
"Canada","Musketeers Wait","52.91"
"Canada","Scorpion Apollo","63.92"
"Australia","Airport Pollock","86.85"
"Canada","Kiss Glory","62.90"
"Canada","Ferris Mother","37.93"
"Canada","Outfield Massacre","21.93"
"Canada","Monster Spartacus","18.94"
"Australia","Soup Wisdom","11.93"
"Australia","Nemo Campus","42.91"
"Australia","Rebel Airport","6.93"
"Australia","Vertigo Northwest","37.92"
"Australia","Cause Date","65.88"
"Canada","Texas Watch","5.94"
"Canada","Highball Potter","11.94"
"Canada","Brotherhood Blanket","64.85"
"Canada","Forward Temple","56.87"
"Australia","Wardrobe Phantom","41.88"
"Australia","Willow Tracy","32.91"
"Canada","Bulworth Commandments","32.93"
"Canada","Color Philadelphia","55.86"
"Australia","Loser Hustler","83.86"
"Australia","Darn Forrester","29.94"
"Canada","Married Go","40.87"
"Canada","Chitty Lock","28.92"
"Australia","Shawshank Bubble","41.93"
"Canada","Pure Runner","37.93"
"Australia","War Notting","20.96"
"Australia","Ferris Mother","32.92"
"Australia","Working Microcosmos","55.92"
"Canada","Purple Movie","52.88"
"Canada","Guys Falcon","52.92"
"Canada","Expendable Stallion","47.86"
"Canada","Elizabeth Shane","36.93"
"Australia","Interview Liaisons","65.90"
"Canada","Gaslight Crusade","31.92"
"Canada","Vision Torque","11.94"
"Australia","Metropolis Coma","64.85"
"Canada","Congeniality Quest","6.93"
"Australia","Human Graffiti","43.91"
"Canada","Super Wyoming","78.88"
"Australia","Sorority Queen","19.88"
"Australia","Kick Savannah","29.90"
"Australia","Earring Instinct","38.89"
"Canada","Money Harold","56.90"
"Australia","Disturbing Scarface","35.90"
"Australia","Brotherhood Blanket","33.92"
"Australia","Strictly Scarface","56.89"
"Canada","Rear Trading","12.93"
"Australia","Details Packer","60.92"
"Australia","Seven Swarm","30.95"
"Canada","Duck Racer","20.95"
"Canada","Handicap Boondock","24.88"
"Australia","Memento Zoolander","48.93"
"Australia","Robbers Joon","48.85"
"Canada","Trap Guys","58.93"
"Canada","Patton Interview","41.90"
"Canada","Minds Truman","89.88"
"Canada","Splash Gump","33.86"
"Australia","Horror Reign","37.87"
"Australia","Galaxy Sweethearts","64.90"
"Australia","Confidential Interview","66.89"
"Canada","Citizen Shrek","21.87"
"Canada","Flamingos Connecticut","46.92"
"Australia","Star Operation","51.88"
"Canada","Straight Hours","25.91"
"Canada","Drifter Commandments","83.86"
"Australia","Congeniality Quest","24.88"
"Canada","Jedi Beneath","9.92"
"Canada","Secrets Paradise","80.89"
"Australia","Entrapment Satisfaction","17.93"
"Australia","Suit Walls","69.90"
"Canada","Savannah Town","22.90"
"Canada","Ice Crossing","55.86"
"Australia","Falcon Volume","65.89"
"Australia","Magic Mallrats","17.93"
"Canada","Bowfinger Gables","24.95"
"Australia","Whisperer Giant","68.90"
"Canada","Glass Dying","35.88"
"Canada","Kramer Chocolate","47.91"
"Australia","Kiss Glory","63.89"
"Canada","Midsummer Groundhog","40.94"
"Australia","Lady Stage","39.95"
"Canada","Darkness War","45.88"
"Australia","Cupboard Sinners","44.89"
"Canada","Fidelity Devil","75.89"
"Australia","Egypt Tenenbaums","26.94"
"Australia","Bubble Grosse","35.94"
"Canada","Jerk Paycheck","49.91"
"Australia","Sea Virgin","33.92"
"Australia","Rock Instinct","30.90"
"Canada","Philadelphia Wife","37.93"
"Australia","Spirit Flintstones","14.86"
"Canada","Sweethearts Suspects","44.86"
"Canada","Microcosmos Paradise","43.88"
"Canada","Stone Fire","32.90"
"Australia","Uncut Suicides","24.93"
"Australia","Hall Cassidy","28.95"
"Australia","Untouchables Sunrise","28.93"
"Australia","Unforgiven Zoolander","13.90"
"Canada","Suit Walls","64.91"
"Canada","Command Darling","32.95"
"Australia","Wrong Behavior","22.93"
"Australia","World Leathernecks","24.92"
"Canada","Nuts Ties","53.91"
"Australia","Forever Candidate","40.88"
"Canada","Harry Idaho","97.85"
"Australia","Insider Arizona","31.91"
"Australia","Cassidy Wyoming","23.94"
"Australia","Murder Antitrust","45.87"
"Australia","Alter Victory","12.91"
"Australia","Dracula Crystal","12.89"
"Canada","Watership Frontier","13.94"
"Australia","Virginian Pluto","25.87"
"Australia","Thief Pelican","21.96"
"Australia","Betrayed Rear","42.93"
"Australia","Gunfighter Mussolini","30.95"
"Canada","Peak Forever","34.93"
"Canada","Driving Polish","69.88"
"Canada","Phantom Glory","21.94"
"Canada","Room Roman","8.94"
"Australia","Boogie Amelie","55.89"
"Canada","Instinct Airport","42.89"
"Canada","Lucky Flying","32.90"
"Canada","Insider Arizona","29.92"
"Canada","Attraction Newton","82.86"
"Canada","Jeepers Wedding","39.93"
"Australia","Hunger Roof","11.92"
"Australia","Igby Maker","47.91"
"Canada","Music Boondock","8.92"
"Australia","Punk Divorce","41.93"
"Australia","Darko Dorado","72.90"
"Canada","Kwai Homeward","29.87"
"Australia","Opposite Necklace","56.89"
"Australia","Jersey Sassy","39.94"
"Canada","Metropolis Coma","51.91"
"Canada","Rocky War","48.93"
"Australia","Mars Roman","13.92"
"Australia","Papi Necklace","27.93"
"Canada","Malkovich Pet","40.88"
"Australia","Clueless Bucket","60.87"
"Australia","Packer Madigan","48.86"
"Canada","Breakfast Goldfinger","38.94"
"Canada","Tramp Others","12.93"
"Australia","Snatch Slipper","64.88"
"Canada","Shrunk Divine","46.87"
"Australia","Mockingbird Hollywood","26.90"
"Australia","Crossroads Casualties","36.90"
"Canada","Elf Murder","34.94"
"Australia","Alley Evolution","22.93"
"Australia","Yentl Idaho","37.94"
"Canada","Dinosaur Secretary","34.91"
"Canada","Searchers Wait","75.86"
"Australia","Wizard Coldblooded","19.96"
"Canada","Young Language","6.93"
"Australia","Trap Guys","60.92"
"Australia","Confessions Maguire","36.93"
"Australia","Flamingos Connecticut","87.86"
"Australia","Midnight Westward","23.90"
"Canada","Tomatoes Hellfighters","10.93"
"Australia","Maltese Hope","60.89"
"Australia","Casper Dragonfly","45.93"
"Australia","Holocaust Highball","5.94"
"Canada","Prejudice Oleander","77.87"
"Australia","Reef Salute","17.94"
"Canada","Sun Confessions","32.87"
"Australia","Encino Elf","16.87"
"Australia","Liberty Magnificent","67.89"
"Canada","Wrong Behavior","39.87"
"Canada","Ishtar Rocketeer","42.94"
"Australia","Lust Lock","21.94"
"Canada","Pirates Roxanne","24.91"
"Australia","Quills Bull","42.93"
"Canada","Craft Outfield","11.92"
"Canada","Midnight Westward","14.94"
"Australia","Behavior Runaway","87.89"
"Canada","Muscle Bright","40.87"
"Australia","October Submarine","57.90"
"Australia","Airplane Sierra","44.91"
"Canada","Gorgeous Bingo","55.90"
"Canada","Image Princess","49.91"
"Canada","Sleuth Orient","30.88"
"Canada","Pluto Oleander","73.87"
"Australia","Grease Youth","11.91"
"Australia","Mighty Luck","31.90"
"Australia","Curtain Videotape","16.89"
"Canada","Graffiti Love","30.88"
"Canada","Gleaming Jawbreaker","63.86"
"Canada","Blanket Beverly","33.90"
"Canada","Volcano Texas","15.89"
"Canada","Alone Trip","24.93"
"Australia","Devil Desire","47.92"
"Canada","Lawless Vision","76.86"
"Australia","State Wasteland","19.96"
"Canada","Half Outfield","49.86"
"Canada","Banger Pinocchio","26.88"
"Canada","Neighbors Charade","18.95"
"Australia","Streak Ridgemont","7.94"
"Canada","Hollywood Anonymous","7.93"
"Canada","Coast Rainbow","12.94"
"Canada","Hours Rage","27.92"
"Australia","Day Unfaithful","54.93"
"Australia","Rear Trading","14.92"
"Canada","Gold River","54.92"
"Canada","Goldfinger Sensibility","44.87"
"Australia","Egg Igby","58.89"
"Australia","Doom Dancing","34.90"
"Australia","Moulin Wake","22.94"
"Australia","Rollercoaster Bringing","39.91"
"Canada","Pity Bound","78.87"
"Australia","Racer Egg","42.87"
"Australia","Twisted Pirates","66.89"
"Australia","Rocketeer Mother","50.85"
"Canada","Shootist Superfly","18.89"
"Canada","Wife Turn","103.86"
"Canada","Orange Grapes","15.93"
"Canada","Scarface Bang","50.92"
"Australia","Easy Gladiator","51.92"
"Australia","Wonka Sea","16.95"
"Australia","Louisiana Harry","20.89"
"Canada","Encino Elf","10.94"
"Australia","Sweden Shining","51.92"
"Australia","Haunted Antitrust","31.94"
"Canada","Sundance Invasion","20.89"
"Canada","Glory Tracy","14.95"
"Canada","Stampede Disturbing","32.86"
"Australia","Snowman Rollercoaster","22.92"
"Australia","Stagecoach Armageddon","99.84"
"Canada","Duffel Apocalypse","5.94"
"Canada","Graceland Dynamite","37.94"
"Australia","Confused Candles","69.89"
"Canada","Fantasy Troopers","22.86"
"Australia","Rage Games","50.92"
"Australia","Trouble Date","51.86"
"Canada","Canyon Stock","21.87"
"Canada","Mourning Purple","12.92"
"Canada","Confused Candles","29.95"
"Australia","Sleepy Japanese","28.94"
"Canada","Honey Ties","31.94"
"Australia","Born Spinal","59.88"
"Australia","Slipper Fidelity","24.86"
"Canada","Doom Dancing","23.93"
"Canada","Watch Tracy","7.95"
"Canada","Paradise Sabrina","55.88"
"Australia","Fidelity Devil","41.93"
"Australia","Mourning Purple","26.89"
"Canada","Holes Brannigan","21.96"
"Canada","Fargo Gandhi","48.87"
"Canada","Maude Mod","10.93"
"Australia","Shock Cabin","50.85"
"Australia","Creatures Shakespeare","30.90"
"Australia","African Egg","47.89"
"Australia","Road Roxanne","86.88"
"Australia","Ladybugs Armageddon","17.94"
"Australia","Mine Titans","46.95"
"Australia","Carol Texas","36.91"
"Canada","Butterfly Chocolat","67.86"
"Canada","Feud Frogmen","12.93"
"Canada","Metal Armageddon","29.93"
"Canada","Stagecoach Armageddon","38.93"
"Australia","Oklahoma Jumanji","5.94"
"Canada","Lose Inch","37.88"
"Canada","Dream Pickup","41.90"
"Canada","West Lion","92.86"
"Canada","Forrest Sons","43.91"
"Australia","Miracle Virtual","41.92"
"Australia","Sundance Invasion","15.93"
"Australia","Clerks Angels","45.94"
"Australia","Madness Attacks","19.93"
"Australia","Color Philadelphia","31.92"
"Canada","Beauty Grease","80.86"
"Australia","Tights Dawn","36.86"
"Canada","Diary Panic","24.92"
"Australia","Troopers Metal","9.95"
"Australia","Breakfast Goldfinger","65.90"
"Canada","Racer Egg","11.96"
"Australia","Horn Working","36.93"
"Australia","Instinct Airport","26.94"
"Australia","Dolls Rage","27.92"
"Australia","Enough Raging","32.90"
"Australia","School Jacket","35.94"
"Canada","Kissing Dolls","68.90"
"Canada","Desperate Trainspotting","31.94"
"Australia","Gorgeous Bingo","38.93"
"Canada","Pinocchio Simon","36.95"
"Canada","Gunfight Moon","21.90"
"Canada","Blindness Gun","71.87"
"Canada","Chaplin License","23.92"
"Canada","High Encino","62.88"
"Canada","Tracy Cider","38.87"
"Canada","Harold French","8.93"
"Australia","Drums Dynamite","24.87"
"Canada","Frost Head","39.86"
"Australia","Groove Fiction","15.92"
"Canada","Silence Kane","5.95"
"Australia","Fellowship Autumn","71.88"
"Canada","Tights Dawn","17.90"
"Canada","Uprising Uptown","45.87"
"Australia","Double Wrath","25.88"
"Australia","Armageddon Lost","23.89"
"Australia","Stage World","46.90"
"Australia","Chariots Conspiracy","35.89"
"Australia","Aladdin Calendar","68.88"
"Australia","Drumline Cyclone","36.90"
"Australia","Splendor Patton","24.87"
"Australia","Vacation Boondock","58.89"
"Australia","Durham Panky","64.88"
"Australia","Amistad Midsummer","24.93"
"Canada","Full Flatliners","16.95"
"Canada","Clones Pinocchio","27.93"
"Australia","Holy Tadpole","17.92"
"Australia","Hollywood Anonymous","5.94"
"Canada","Fellowship Autumn","65.88"
"Canada","Jungle Closer","23.88"
"Australia","Doubtfire Labyrinth","52.91"
"Australia","Worst Banger","46.91"
"Canada","Tuxedo Mile","44.92"
"Canada","Satisfaction Confidential","73.90"
"Australia","Mummy Creatures","31.90"
"Canada","Beverly Outlaw","58.91"
"Canada","Turn Star","33.93"
"Canada","Pilot Hoosiers","23.93"
"Australia","Groundhog Uncut","46.91"
"Australia","Forrester Comancheros","67.88"
"Canada","Boogie Amelie","84.85"
"Australia","Chasing Fight","31.94"
"Canada","Spy Mile","49.86"
"Australia","Prejudice Oleander","32.94"
"Australia","Gilmore Boiled","19.89"
"Canada","Holocaust Highball","17.90"
"Australia","Town Ark","25.93"
"Canada","Thief Pelican","75.88"
"Canada","Effect Gladiator","25.88"
"Australia","Runaway Tenenbaums","11.93"
"Australia","Traffic Hobbit","24.95"
"Canada","Wonka Sea","49.87"
"Canada","Cat Coneheads","85.86"
"Australia","Closer Bang","62.90"
"Canada","None Spiking","41.89"
"Australia","Anaconda Confessions","21.92"
"Canada","Confidential Interview","69.87"
"Canada","Reds Pocus","47.92"
"Australia","United Pilot","22.92"
"Canada","Hope Tootsie","30.91"
"Canada","Valley Packer","21.93"
"Australia","Disciple Mother","5.95"
"Australia","Wind Phantom","17.86"
"Canada","Desert Poseidon","38.93"
"Canada","Christmas Moonshine","16.90"
"Australia","Novocaine Flight","13.94"
"Australia","Arachnophobia Rollercoaster","49.89"
"Canada","Lust Lock","52.88"
"Canada","Hyde Doctor","51.87"
"Australia","Expendable Stallion","46.88"
"Canada","Hardly Robbers","15.96"
"Canada","Matrix Snowman","40.92"
"Australia","Pacific Amistad","23.89"
"Canada","Downhill Enough","25.91"
"Australia","Pelican Comforts","77.89"
"Canada","Amistad Midsummer","45.86"
"Australia","Informer Double","27.95"
"Australia","Samurai Lion","67.84"
"Australia","Earth Vision","21.87"
"Australia","Craft Outfield","6.94"
"Canada","Family Sweet","28.87"
"Australia","Badman Dawn","45.88"
"Canada","Cupboard Sinners","58.89"
"Australia","Backlash Undefeated","72.92"
"Australia","Destiny Saturday","59.91"
"Australia","Boulevard Mob","30.92"
"Canada","Murder Antitrust","32.92"
"Canada","Mine Titans","91.88"
"Canada","Streetcar Intentions","54.90"
"Canada","Sleepy Japanese","47.89"
"Australia","Birch Antitrust","38.95"
"Australia","Oz Liaisons","63.85"
"Canada","Cheaper Clyde","14.93"
"Canada","Saturday Lambs","93.87"
"Australia","Redemption Comforts","67.88"
"Australia","Fatal Haunted","43.90"
"Australia","Candles Grapes","40.93"
"Canada","Sugar Wonka","42.93"
"Canada","South Wait","41.90"
"Canada","Disciple Mother","33.87"
"Canada","Movie Shakespeare","88.84"
"Canada","Soldiers Evolution","36.93"
"Australia","Summer Scarface","15.94"
"Australia","Idaho Love","32.92"
"Canada","Sinners Atlantis","24.93"
"Australia","Sinners Atlantis","35.88"
"Canada","Summer Scarface","16.92"
"Australia","Wife Turn","94.87"
"Australia","Honey Ties","27.90"
"Australia","Monsoon Cause","54.91"
"Canada","Bingo Talented","61.88"
"Australia","Tramp Others","27.89"
"Canada","Saturn Name","70.87"
"Australia","Lola Agent","104.84"
"Australia","Gaslight Crusade","30.92"
"Australia","Hunchback Impossible","42.93"
"Canada","Mission Zoolander","70.90"
"Canada","Unforgiven Zoolander","8.94"
"Canada","Calendar Gunfight","86.88"
"Canada","Squad Fish","27.93"
"Australia","Scorpion Apollo","94.87"
"Canada","Clash Freddy","31.91"
"Canada","Everyone Craft","22.89"
"Australia","Dumbo Lust","13.94"
"Canada","Talented Homicide","11.91"
"Australia","Sting Personal","85.89"
"Australia","Quest Mussolini","58.85"
"Australia","Brannigan Sunrise","56.91"
"Australia","Angels Life","37.93"
"Canada","Forrester Comancheros","73.86"
"Canada","Karate Moon","34.87"
"Canada","Uptown Young","29.90"
"Canada","Rings Heartbreakers","31.87"
"Canada","French Holiday","69.88"
"Australia","Paths Control","50.94"
"Australia","Gables Metropolis","13.94"
"Canada","Wasteland Divine","40.88"
"Canada","Streak Ridgemont","9.93"
"Canada","Stranger Strangers","65.90"
"Australia","Primary Glass","20.85"
"Canada","Fugitive Maguire","56.89"
"Australia","Sleepless Monsoon","70.89"
"Australia","Kwai Homeward","12.93"
"Australia","Stepmom Dream","38.93"
"Australia","Liaisons Sweet","77.87"
"Australia","Dude Blindness","90.87"
"Canada","Groove Fiction","24.91"
"Australia","Money Harold","54.90"
"Australia","Extraordinary Conquerer","22.94"
"Canada","Hedwig Alter","31.90"
"Canada","Elephant Trojan","64.90"
"Australia","Drifter Commandments","47.92"
"Australia","Noon Papi","60.85"
"Australia","Outlaw Hanky","26.95"
"Australia","Affair Prejudice","33.91"
"Canada","Potter Connecticut","32.92"
"Canada","Titans Jerk","94.87"
"Canada","Fireball Philadelphia","30.90"
"Australia","None Spiking","37.86"
"Australia","Seattle Expecations","53.91"
"Canada","Meet Chocolate","33.93"
"Canada","Secretary Rouge","54.91"
"Canada","Lights Deer","7.93"
"Australia","Range Moonwalker","67.89"
"Australia","Contact Anonymous","50.85"
"Canada","English Bulworth","44.90"
"Canada","Jaws Harry","14.96"
"Australia","Gunfight Moon","24.89"
"Canada","Northwest Polish","42.90"
"Australia","Newton Labyrinth","33.90"
"Australia","Gentlemen Stage","48.86"
"Australia","Hustler Party","90.90"
"Canada","Panther Reds","34.93"
"Australia","Neighbors Charade","43.88"
"Australia","Loathing Legally","38.85"
"Canada","Blackout Private","43.88"
"Canada","Ties Hunger","69.91"
"Australia","Comforts Rush","31.92"
"Australia","Unbreakable Karate","34.93"
"Australia","Apocalypse Flamingos","24.95"
"Australia","Head Stranger","58.91"
"Australia","Pianist Outfield","27.87"
"Canada","Memento Zoolander","39.94"
"Canada","Past Suicides","66.88"
"Australia","Random Go","31.91"
"Australia","Midsummer Groundhog","88.88"
"Canada","Bedazzled Married","6.94"
"Australia","Newsies Story","22.93"
"Australia","Mulan Moon","30.89"
"Canada","Borrowers Bedazzled","12.91"
"Australia","Leathernecks Dwarfs","21.94"
"Australia","Outfield Massacre","32.89"
"Australia","Notting Speakeasy","12.91"
"Australia","Freaky Pocus","20.93"
"Australia","Pure Runner","51.92"
"Canada","Intrigue Worst","17.90"
"Canada","Dorado Notting","78.87"
"Canada","Pelican Comforts","87.88"
"Canada","Knock Warlock","50.88"
"Canada","Pajama Jawbreaker","39.86"
"Australia","Platoon Instinct","40.92"
"Australia","Salute Apollo","74.84"
"Australia","Feud Frogmen","18.87"
"Australia","Timberland Sky","64.84"
"Australia","Wedding Apollo","52.86"
"Australia","Torque Bound","88.88"
"Canada","Working Microcosmos","88.86"
"Canada","Bucket Brotherhood","80.85"
"Australia","Casablanca Super","56.89"
"Canada","Cowboy Doom","28.93"
"Canada","Darn Forrester","57.89"
"Canada","Arachnophobia Rollercoaster","59.88"
"Australia","Sun Confessions","17.90"
"Canada","Crooked Frogmen","14.91"
"Canada","Rules Human","42.93"
"Australia","Cleopatra Devil","14.91"
"Canada","Truman Crazy","64.88"
"Canada","Swarm Gold","20.91"
"Australia","Roses Treasure","72.88"
"Canada","Panic Club","51.93"
"Australia","Legend Jedi","12.92"
"Australia","Reign Gentlemen","34.93"
"Canada","Dogma Family","89.86"
"Canada","Godfather Diary","37.92"
"Canada","Homicide Peach","43.87"
"Canada","Trainspotting Strangers","46.91"
"Australia","Lebowski Soldiers","41.88"
"Australia","Desert Poseidon","79.88"
"Australia","Freddy Storm","75.86"
"Australia","Rushmore Mermaid","18.94"
"Australia","Monterey Labyrinth","19.89"
"Australia","Grapes Fury","19.90"
"Australia","Enemy Odds","88.86"
"Canada","Roxanne Rebel","15.93"
"Canada","Princess Giant","64.89"
"Canada","Song Hedwig","31.90"
"Canada","Moulin Wake","28.90"
"Australia","Saints Bride","31.92"
"Canada","License Weekend","17.94"
"Canada","Snatchers Montezuma","37.91"
"Canada","Menagerie Rushmore","18.94"
"Canada","Youth Kick","16.94"
"Australia","Reunion Witches","25.93"
"Canada","Falcon Volume","40.92"
"Canada","Jumanji Blade","30.92"
"Australia","Berets Agent","49.86"
"Canada","Worker Tarzan","25.93"
"Australia","Sagebrush Clueless","35.93"
"Canada","Manchurian Curtain","31.93"
"Canada","Snowman Rollercoaster","42.87"
"Canada","Igby Maker","41.92"
"Australia","Virgin Daisy","60.89"
"Australia","Heartbreakers Bright","69.90"
"Canada","Idaho Love","35.93"
"Australia","Modern Dorado","42.88"
"Canada","Show Lord","42.93"
"Canada","Range Moonwalker","90.88"
"Canada","Robbery Bright","32.88"
"Canada","Joon Northwest","17.94"
"Canada","Story Side","12.89"
"Canada","Tarzan Videotape","40.92"
"Canada","Destination Jerk","31.92"
"Canada","Salute Apollo","20.96"
"Australia","Attacks Hate","62.91"
"Australia","Core Suit","53.90"
"Canada","Barefoot Manchurian","35.90"
"Australia","Lesson Cleopatra","22.94"
"Canada","Date Speed","41.88"
"Canada","Quills Bull","34.94"
"Canada","Gilmore Boiled","32.87"
"Canada","Nightmare Chill","61.92"
"Canada","Panky Submarine","38.95"
"Australia","Sweethearts Suspects","48.87"
"Canada","Jekyll Frogmen","41.92"
"Australia","Titans Jerk","91.86"
"Canada","Clueless Bucket","44.90"
"Australia","Queen Luke","77.86"
"Canada","Disturbing Scarface","41.87"
"Australia","Prix Undefeated","37.90"
"Australia","Secrets Paradise","58.93"
"Canada","Brooklyn Desert","67.87"
"Canada","Fight Jawbreaker","21.92"
"Australia","Alone Trip","36.90"
"Canada","Hanky October","48.89"
"Canada","Interview Liaisons","44.92"
"Australia","Northwest Polish","34.92"
"Australia","Mussolini Spoilers","15.95"
"Canada","Wolves Desire","9.90"
"Australia","Motions Details","12.95"
"Canada","Scalawag Duck","80.85"
"Australia","Dynamite Tarzan","29.88"
"Canada","Wonderful Drop","46.92"
"Canada","Rouge Squad","20.95"
"Australia","Manchurian Curtain","27.93"
"Canada","Titanic Boondock","64.90"
"Australia","Flight Lies","68.88"
"Canada","Secret Groundhog","44.92"
"Australia","Submarine Bed","78.87"
"Canada","Frida Slipper","26.94"
"Canada","Flatliners Killer","52.87"
"Australia","Roman Punk","10.93"
"Australia","Lock Rear","42.86"
"Canada","Gosford Donnie","48.92"
"Australia","Family Sweet","31.86"
"Australia","Ice Crossing","34.92"
"Australia","Hanover Galaxy","81.86"
"Canada","Factory Dragon","30.85"
"Canada","Comancheros Enemy","9.94"
"Australia","Alabama Devil","27.96"
"Australia","Women Dorado","26.88"
"Canada","Rugrats Shakespeare","30.87"
"Canada","Divorce Shining","21.95"
"Australia","Creepers Kane","77.87"
"Canada","Juggler Hardly","42.85"
"Australia","Chance Resurrection","80.85"
"Canada","Control Anthem","31.94"
"Australia","Wait Cider","19.96"
"Canada","Spice Sorority","40.92"
"Canada","Impossible Prejudice","74.86"
"Australia","Bucket Brotherhood","69.87"
"Canada","Sleeping Suspects","66.88"
"Canada","Backlash Undefeated","67.92"
"Australia","Pity Bound","59.90"
"Australia","Mermaid Insects","63.90"
"Canada","Armageddon Lost","17.91"
"Canada","Closer Bang","89.86"
"Canada","Storm Happiness","18.86"
"Australia","Gangs Pride","34.91"
"Canada","Maltese Hope","57.90"
"Canada","Bill Others","43.87"
"Canada","Lady Stage","73.89"
"Australia","Satisfaction Confidential","48.94"
"Canada","Balloon Homeward","33.92"
"Australia","Indian Love","31.90"
"Australia","Iron Moon","50.90"
"Canada","Anything Savannah","43.92"
"Canada","Trip Newton","73.86"
"Australia","Scarface Bang","55.92"
"Australia","Dwarfs Alter","28.92"
"Canada","Won Dares","28.91"
"Australia","Moon Bunch","16.88"
"Australia","Dancing Fever","23.87"
"Canada","Network Peak","50.88"
"Canada","Carrie Bunch","22.85"
"Australia","Conversation Downhill","53.92"
"Canada","Shanghai Tycoon","25.92"
"Canada","Hellfighters Sierra","44.91"
"Australia","Music Boondock","11.91"
"Canada","Vampire Whale","69.89"
"Australia","Frisco Forrest","53.91"
"Australia","Peak Forever","59.89"
"Canada","Hysterical Grail","41.93"
"Canada","Orient Closer","33.93"
"Australia","Rider Caddyshack","48.89"
"Canada","Gun Bonnie","17.90"
"Australia","Handicap Boondock","25.88"
"Australia","Alien Center","46.88"
"Australia","Seabiscuit Punk","45.88"
"Canada","Strangelove Desire","53.86"
"Australia","Ghostbusters Elf","8.93"
"Canada","Chocolat Harry","29.89"
"Canada","Donnie Alley","34.87"
"Canada","Goldmine Tycoon","24.87"
"Australia","Hours Rage","16.90"
"Australia","Treatment Jekyll","6.94"
"Canada","Something Duck","84.88"
"Australia","Graffiti Love","36.86"
"Canada","Anthem Luke","63.89"
"Canada","Fever Empire","33.95"
"Canada","Newton Labyrinth","12.94"
"Australia","Cider Desire","43.87"
"Australia","Jedi Beneath","10.90"
"Australia","Wash Heavenly","40.92"
"Canada","Enemy Odds","70.89"
"Australia","Hanging Deep","92.85"
"Australia","Massacre Usual","57.90"
"Australia","Majestic Floats","36.85"
"Australia","Beach Heartbreakers","55.86"
"Australia","Holiday Games","82.85"
"Australia","Coneheads Smoochy","52.90"
"Canada","Eagles Panky","98.86"
"Australia","Bull Shawshank","15.89"
"Australia","Clockwork Paradise","11.90"
"Canada","Roman Punk","14.86"
"Australia","Million Ace","64.89"
"Australia","Hope Tootsie","41.92"
"Australia","Identity Lover","56.88"
"Canada","Deer Virginian","37.89"
"Canada","Doctor Grail","23.95"
"Canada","Trading Pinocchio","85.86"
"Australia","Roots Remember","22.91"
"Canada","Name Detective","72.89"
"Canada","Fantasia Park","27.92"
"Australia","Calendar Gunfight","36.94"
"Canada","Mosquito Armageddon","16.89"
"Australia","Titanic Boondock","84.88"
"Australia","Apache Divine","79.86"
"Canada","Liaisons Sweet","48.92"
"Canada","Games Bowfinger","62.88"
"Canada","Cabin Flash","39.86"
"Canada","Spinal Rocky","21.93"
"Canada","Whale Bikini","113.85"
"Australia","Scissorhands Slums","42.88"
"Australia","Karate Moon","16.93"
"Canada","Lies Treatment","74.86"
"Canada","Freddy Storm","39.93"
